方向编号,方向,支撑关系,序号,标题,作者,出处,年份,国别,被引,类型,DOI,OpenAlexID
E8,无人机与遥感在养殖中的工程应用,支撑 D3,39,RaftNet: A New Deep Neural Network for Coastal Raft Aquaculture Extraction from Landsat 8 OLI Data,"Hua Su, Susu Wei, Junlong Qiu, Wenting Wu",Remote Sensing,2022,国内,34,方法/分析,10.3390/rs14184587,rs14184587
E8,无人机与遥感在养殖中的工程应用,支撑 D3,40,Improving Satellite Retrieval of Coastal Aquaculture Pond by Adding Water Quality Parameters,"Yuxuan Hou, Gang Zhao, Xiaohong Chen, Xuan Yu",Remote Sensing,2022,国内,33,方法/分析,10.3390/rs14143306,rs14143306
E8,无人机与遥感在养殖中的工程应用,支撑 D3,41,Mapping Aquaculture Ponds for the Coastal Zone of Asia with Sentinel-1 and Sentinel-2 Time Series,"Marco Ottinger, Felix Bachofer, Juliane Huth, Claudia Kuenzer",Remote Sensing,2021,国外,85,方法/分析,10.3390/rs14010153,rs14010153
E8,无人机与遥感在养殖中的工程应用,支撑 D3,42,Extraction of Offshore Aquaculture Areas from Medium-Resolution Remote Sensing Images Based on Deep Learning,"Yimin Lu, Wei Shao, Jie Sun",Remote Sensing,2021,国内,53,方法/分析,10.3390/rs13193854,rs13193854
E8,无人机与遥感在养殖中的工程应用,支撑 D3,43,Unmanned Aerial System-Based Multispectral Water Quality Monitoring in the Iberian Pyrite Belt (SW Spain),"Melisa A. Isgró, M. Dolores Basallote, Luis Barbero",Mine Water and the Environment,2021,国外,22,工程落地,10.1007/s10230-021-00837-4,s10230-021-00837-4
E9,水下声学感知与通信工程,支撑 D1/D2,1,An Autonomous Underwater Acoustic Network Architecture for Cross-Domain Communication,"Jiaming Jin, Huifang Chen, Lei Xie",OCEANS 2026 Sanya,2026,国内,0,工程落地,10.1109/oceans66983.2026.11617007,oceans66983.2026.11617007
E9,水下声学感知与通信工程,支撑 D1/D2,2,"MAC Protocol in Underwater Acoustic Network for AUV Collaborative Communication, Detection, and Sensor Data Collection","Zhihui Duan, Xiaoxiao Zhuo, Liang Tang, Fengzhong Qu, Yu Zhao",OCEANS 2026 Sanya,2026,国内,0,方法/分析,10.1109/oceans66983.2026.11616929,oceans66983.2026.11616929
E9,水下声学感知与通信工程,支撑 D1/D2,3,CD-NOMA: Correlation Domain Non-Orthogonal Multiple Access for Underwater Acoustic Network,"Zhile Li, Zhuoran Qi, Dario Pompili","2026 22nd Annual IEEE International Conference on Sensing, Communication, and Networking (SECON)",2026,国内(合作),0,方法/分析,10.1109/secon68281.2026.11579056,secon68281.2026.11579056
E9,水下声学感知与通信工程,支撑 D1/D2,4,An Acoustic Underwater Glider for the Real-Time Transmission of Observation Data via an Underwater Acoustic Communication Modem,"Sichen Zou, Qindong Sun",Sensors,2025,国内,7,方法/分析,10.3390/s25030849,s25030849
E9,水下声学感知与通信工程,支撑 D1/D2,5,Spatiotemporal Dynamics of Fish Density in a Deep-Water Reservoir: Hydroacoustic Assessment of Aggregation Patterns and Key Drivers,"Zihao Meng, Feifei Hu, Miao Xiang, Xuejun Fu, Xuemei Li",Animals,2025,国内,5,方法/分析,10.3390/ani15071068,ani15071068
E9,水下声学感知与通信工程,支撑 D1/D2,6,"A Hydroacoustic Assessment of the Density, Size, and Biomass of Fish in a Freshwater Reservoir After Non-Classical Biomanipulation","Aihuan Guo, Qingping Lian, Pengcheng Sheng, Aiju Zhang, Julin Yuan, Kohji Iida",Fishes,2025,国内,2,方法/分析,10.3390/fishes10060274,fishes10060274
E9,水下声学感知与通信工程,支撑 D1/D2,7,Modulation Recognition of Underwater Acoustic Communication Signals Based on A Multi-Node Fusion Network,"Haoxin Zhao, Bin Wang","2025 5th International Conference on Neural Networks, Information and Communication Engineering (NNICE)",2025,国内,1,方法/分析,10.1109/nnice64954.2025.11063950,nnice64954.2025.11063950
E9,水下声学感知与通信工程,支撑 D1/D2,8,A Novel Framework for Automated Fish Behavior Monitoring Using Acoustic Images and Signals,"Jikun Si, Tian Zhou, Zhengbao Yang, Xiaoyang Yu","2025 IEEE 15th International Conference on Signal Processing, Communications and Computing (ICSPCC)",2025,国内,1,工程落地,10.1109/icspcc66825.2025.11194562,icspcc66825.2025.11194562
E9,水下声学感知与通信工程,支撑 D1/D2,9,An Enhanced Variable Delay Supported Path Loss Model for Underwater Acoustic Sensor Network,"M. Saranya Nair, R. Ratheesh",International Journal of Communication Systems,2025,国外,1,方法/分析,10.1002/dac.70119,dac.70119
E9,水下声学感知与通信工程,支撑 D1/D2,10,Comprehensive Review of Underwater Acoustic Communication Papers Introduction,Sherry Rao,,2025,国外,1,方法/分析,10.2139/ssrn.5017045,ssrn.5017045
E9,水下声学感知与通信工程,支撑 D1/D2,11,Game Theory–Based Effective Clustering in Heterogeneous Underwater Acoustic Sensor Network,"Xiao Yan, Dongjie Gao, Qunli Zhang, Xiaobei Wu",International Journal of Communication Systems,2025,国内,0,方法/分析,10.1002/dac.70198,dac.70198
E9,水下声学感知与通信工程,支撑 D1/D2,12,An Efficient Joint Synchronization and Localization Method for Underwater Acoustic Communication Network with Limited Communication Resources,"Yuan Liu, Chuanqi Zhu, Rui Wan, Liang An, Shiliang Fang",2025 8th International Conference on Information Communication and Signal Processing (ICICSP),2025,国内,0,方法/分析,10.1109/icicsp66564.2025.11338309,icicsp66564.2025.11338309
E9,水下声学感知与通信工程,支撑 D1/D2,13,A Medium Access Control Protocol for Underwater Acoustic Communication Network Based on the Upper Confidence Bound Algorithm,"Jianmin Yang, Zhihong Peng, Yan Lin, Ying Huang, Ming Gong",Proceedings of the 19th International Conference on Underwater Networks and Systems,2025,国内,0,工程落地,10.1145/3784941.3784967,3784941.3784967
E9,水下声学感知与通信工程,支撑 D1/D2,14,Dynamic Time Slot TDMA Protocol of Underwater Acoustic Communication Network Based on Unmanned Mobile Cluster,"Huizhe Li, Feng Zhou, Zheyi Zhang, Xiaofeng Ji, Xuerui Liu, Gang Qiao",OCEANS 2025 Brest,2025,国内,0,方法/分析,10.1109/oceans58557.2025.11145931,oceans58557.2025.11145931
E9,水下声学感知与通信工程,支撑 D1/D2,15,Multi-class single-carrier underwater acoustic signals demodulator based on neural network,"Liu Zhao, Wang Meng, Lin Kai, Li Shuang, Yang Xinghai, Wang Jingjing",China Communications,2025,国内,0,方法/分析,10.23919/jcc.ja.2024-0532,jcc.ja.2024-0532
E9,水下声学感知与通信工程,支撑 D1/D2,16,Design of Underwater Communication Network Architecture Based on Clustering,"Quanfeng Yao, Donglei Xu, Xianjun Peng, Hui Wan",2025 China Automation Congress (CAC),2025,国内,0,工程落地,10.1109/cac67268.2025.11486963,cac67268.2025.11486963
E9,水下声学感知与通信工程,支撑 D1/D2,17,MIMO-OFDM hydroacoustic channel estimation based on joint sparse optimization of AMP and OMP,"Wanhui Li, Shuang Xiao, Shuyu Ji, Ruichun Zhang","2025 IEEE 7th International Conference on Communications, Information System and Computer Engineering (CISCE)",2025,国内,0,方法/分析,10.1109/cisce65916.2025.11065870,cisce65916.2025.11065870
E9,水下声学感知与通信工程,支撑 D1/D2,18,Crypto-secure UASN: secure communication for the network layer of underwater acoustic sensor networks,"Muhammad Ali, Ali Taimoor Khalid, Menaa Nawaz",Advances in Underwater Communication and Networking,2025,国外,0,方法/分析,10.1049/sbra563e_ch11,sbra563e_ch11
E9,水下声学感知与通信工程,支撑 D1/D2,19,Software-defined underwater acoustic communication,"Ahmad Nasir, Muhammad Attique, Salman Ghafoor",Advances in Underwater Communication and Networking,2025,国外,0,方法/分析,10.1049/sbra563e_ch2,sbra563e_ch2
E9,水下声学感知与通信工程,支撑 D1/D2,20,"Spatial and Temporal Distribution Patterns of Fish in Large Deep-Water Lakes and Their Association with Environmental Factors Assessed Through Hydroacoustic Methods: A Case Study of Qiandao Lake, China","Lei Hao, Haibin Lin, Shuaikang Cui, Xiaoli Lu, Jianqiang Shao, Jiayong Pan, Guangxi He, Qigen Liu, Zhongjun Hu",Water,2024,国内,5,工程落地,10.3390/w16243543,w16243543
E9,水下声学感知与通信工程,支撑 D1/D2,21,Neural Network Assisted Time-varying Non-sparse Underwater Acoustic Channel Estimation,"Chi Yang, Lei Wang, Cong Peng, Shuhao Zhang","2024 4th International Conference on Neural Networks, Information and Communication (NNICE)",2024,国内,1,方法/分析,10.1109/nnice61279.2024.10498782,nnice61279.2024.10498782
E9,水下声学感知与通信工程,支撑 D1/D2,22,A Throughput Performance Analysis Method for Multimode Underwater Acoustic Communication Network Based on Markov Decision Process,"Chao Wang, Pengyu Du, Zhongkang Wang, Dong Li",Remote Sensing,2024,国内,1,方法/分析,10.3390/rs16132440,rs16132440
E9,水下声学感知与通信工程,支撑 D1/D2,23,Deep Learning-Based Code Index Cyclic Shift Keying Spread Spectrum Underwater Acoustic Communication,"Jingyi Lin, Yufei Liu, Fangyong Wang",2024 OES China Ocean Acoustics (COA),2024,国内,1,方法/分析,10.1109/coa58979.2024.10723667,coa58979.2024.10723667
E9,水下声学感知与通信工程,支撑 D1/D2,24,Underwater Acoustic Classification Using Wavelet Scattering Transform and Convolutional Neural Network,"Fantong Kong, Yongxiang Liu, Hanchang Xu, Biao Wang",2024 OES China Ocean Acoustics (COA),2024,国内,1,方法/分析,10.1109/coa58979.2024.10723696,coa58979.2024.10723696
E9,水下声学感知与通信工程,支撑 D1/D2,25,Self-Interference Suppression of Full-Duplex Spread Spectrum Underwater Acoustic Communication Based on CSK Modulation,"Songwen Wu, Feng Zhou, Yinheng Lu, Haoxuan Yue",2024 OES China Ocean Acoustics (COA),2024,国内,1,方法/分析,10.1109/coa58979.2024.10723370,coa58979.2024.10723370
E9,水下声学感知与通信工程,支撑 D1/D2,26,Frame Synchronization In Underwater Acoustic Communication Based on Convolutional Neural Network,"Ali Sedaghat Khankahdani, Ali Jamshidi",2024 11th International Symposium on Telecommunications (IST),2024,国外,1,方法/分析,10.1109/ist64061.2024.10843561,ist64061.2024.10843561
E9,水下声学感知与通信工程,支撑 D1/D2,27,Channel Replay Aided Siamese Network for Automatic Modulation Recognition of Underwater Acoustic Communication,"Xinyong Liu, Kaiyi Zhang, Lichen Wei, Deqing Wang","2024 13th International Conference on Communications, Circuits and Systems (ICCCAS)",2024,国内,0,工程落地,10.1109/icccas62034.2024.10652807,icccas62034.2024.10652807
E9,水下声学感知与通信工程,支撑 D1/D2,28,Experimental Investigation on Very-High-Rate Underwater Acoustic Communication,"Xu Kou, Yanbo Wu, Min Zhu",2024 OES China Ocean Acoustics (COA),2024,国内,0,工程落地,10.1109/coa58979.2024.10723429,coa58979.2024.10723429
E9,水下声学感知与通信工程,支撑 D1/D2,29,Underwater Acoustic Target Recognition based on Preemphasis Filter Convolutional Neural Network,"Xiaopeng Kong, Yan Huang, Jingyi Wang",2024 OES China Ocean Acoustics (COA),2024,国内,0,方法/分析,10.1109/coa58979.2024.10723512,coa58979.2024.10723512
