u_strength,seed,true_slope,true_two_point,d_t,theta_base_correct,se_base_correct,bias_base_correct,absbias_base_correct,theta_plus_mediator,se_plus_mediator,bias_plus_mediator,absbias_plus_mediator,theta_plus_collider,se_plus_collider,bias_plus_collider,absbias_plus_collider,theta_plus_both,se_plus_both,bias_plus_both,absbias_plus_both,delta_plus_mediator,absdelta_plus_mediator,delta_plus_collider,absdelta_plus_collider,delta_plus_both,absdelta_plus_both,ratio_collider_over_mediator
0.0,11,0.22286529319902365,0.3548241938647949,1.5921016178500662,0.22200526948999305,0.022122847000629813,-0.0008600237090305995,0.0008600237090305995,0.32653100974129146,0.022903753836387913,0.1036657165422678,0.1036657165422678,0.6844959978257505,0.018120076726614413,0.4616307046267269,0.4616307046267269,0.7123027123082938,0.018604709046629864,0.48943741910927013,0.48943741910927013,0.1045257402512984,0.1045257402512984,0.4624907283357575,0.4624907283357575,0.49029744281830073,0.49029744281830073,4.424658722567741
0.0,22,0.2282608714607159,0.36434466887994055,1.5961766313620902,0.20620133436695626,0.02273986464793266,-0.02205953709375963,0.02205953709375963,0.30146932417402156,0.024310081157544287,0.07320845271330567,0.07320845271330567,0.6842113693132187,0.01763708200924623,0.4559504978525028,0.4559504978525028,0.7183171149956198,0.018456994010850544,0.4900562435349039,0.4900562435349039,0.0952679898070653,0.0952679898070653,0.47801003494626243,0.47801003494626243,0.5121157806286636,0.5121157806286636,5.017530399395622
0.0,33,0.22512875701464355,0.3602810021775009,1.6003331025101621,0.19943887171069843,0.021805448150425323,-0.025689885303945115,0.025689885303945115,0.28729831998954164,0.022686246966997527,0.06216956297489809,0.06216956297489809,0.6493555369392222,0.017869949551512502,0.4242267799245787,0.4242267799245787,0.6780004911863095,0.018722979039585422,0.45287173417166593,0.45287173417166593,0.0878594482788432,0.0878594482788432,0.4499166652285238,0.4499166652285238,0.47856161947561104,0.47856161947561104,5.120868319143144
0.0,44,0.22469931495033066,0.35872173501182847,1.5964522859854877,0.20639143150288564,0.0220161961023388,-0.018307883447445022,0.018307883447445022,0.30807136321853484,0.024027414361689387,0.08337204826820419,0.08337204826820419,0.6840722339609852,0.01818685657468853,0.45937291901065447,0.45937291901065447,0.7299279714795839,0.019256112882238434,0.5052286565292532,0.5052286565292532,0.10167993171564921,0.10167993171564921,0.4776808024580995,0.4776808024580995,0.5235365399766982,0.5235365399766982,4.697886735348597
0.0,55,0.22669436437006557,0.3646931143492211,1.608743628729475,0.20795564229115795,0.022188611069497995,-0.018738722078907616,0.018738722078907616,0.3028396562427958,0.02295769971567954,0.07614529187273023,0.07614529187273023,0.6736956423535836,0.017662095140237376,0.447001277983518,0.447001277983518,0.6984958110522268,0.018136514874402557,0.47180144668216123,0.47180144668216123,0.09488401395163784,0.09488401395163784,0.46574000006242566,0.46574000006242566,0.4905401687610689,0.4905401687610689,4.90851915581704
0.0,66,0.2182635468869048,0.34741607811028985,1.5917274463165696,0.23240376221644524,0.02283472040111985,0.014140215329540434,0.014140215329540434,0.3247665272795731,0.023511554416548435,0.10650298039266831,0.10650298039266831,0.6799978189522127,0.018444502214092714,0.46173427206530787,0.46173427206530787,0.7069612520936323,0.018870841845686423,0.48869770520672745,0.48869770520672745,0.09236276506312788,0.09236276506312788,0.44759405673576746,0.44759405673576746,0.47455748987718704,0.47455748987718704,4.84604436029873
0.3,11,0.22000610681922367,0.3502876230211404,1.5921722723313652,0.29737131151114227,0.02156038686552843,0.0773652046919186,0.0773652046919186,0.39268827301147224,0.022450389514962414,0.17268216619224858,0.17268216619224858,0.7143216941820544,0.017630569542344755,0.4943155873628307,0.4943155873628307,0.7398194201864254,0.01824426041188232,0.5198133133672018,0.5198133133672018,0.09531696150032998,0.09531696150032998,0.4169503826709121,0.4169503826709121,0.44244810867528317,0.44244810867528317,4.374356631893566
0.3,22,0.22530841816364372,0.3599968511913467,1.5977958308236733,0.28218496466383985,0.02205432116801077,0.056876546500196135,0.056876546500196135,0.37674073430628385,0.02366614582280831,0.15143231614264013,0.15143231614264013,0.7214957004662039,0.016629386626420144,0.4961872823025602,0.4961872823025602,0.7512732556237924,0.017604480936763197,0.5259648374601487,0.5259648374601487,0.094555769642444,0.094555769642444,0.43931073580236407,0.43931073580236407,0.4690882909599526,0.4690882909599526,4.646048966272357
0.3,33,0.222012556032133,0.3546226783743022,1.59730911040444,0.2714576817583846,0.02143267089592482,0.04944512572625159,0.04944512572625159,0.36662342172357143,0.02227053338711624,0.14461086569143844,0.14461086569143844,0.6856121712712014,0.01738615148046627,0.46359961523906845,0.46359961523906845,0.711013242904363,0.018157586978600485,0.48900068687223,0.48900068687223,0.09516573996518685,0.09516573996518685,0.41415448951281686,0.41415448951281686,0.4395555611459784,0.4395555611459784,4.351928432063064
0.3,44,0.2216589883449307,0.35387117880812385,1.596466633049202,0.28161233834849453,0.02148640953999649,0.05995335000356383,0.05995335000356383,0.37794790369196374,0.02341991043704913,0.15628891534703304,0.15628891534703304,0.7100869860884832,0.01789713708522955,0.4884279977435525,0.4884279977435525,0.7516174307285803,0.019184481596790696,0.5299584423836496,0.5299584423836496,0.09633556534346921,0.09633556534346921,0.42847464773998867,0.42847464773998867,0.4700050923800858,0.4700050923800858,4.447730661177211
0.3,55,0.2237962871008436,0.360774918510755,1.6120683822971031,0.28223597601345557,0.02149503387663319,0.058439688912611976,0.058439688912611976,0.37643464979354135,0.022399343155563623,0.15263836269269776,0.15263836269269776,0.7041986839779257,0.017048602407001935,0.48040239687708214,0.48040239687708214,0.7329152753509195,0.017757568644592894,0.509118988250076,0.509118988250076,0.09419867378008578,0.09419867378008578,0.42196270796447016,0.42196270796447016,0.4506792993374639,0.4506792993374639,4.479497332940964
0.3,66,0.21507823858545216,0.3427827053500587,1.5937581951782103,0.30578407793153445,0.02234826821237248,0.09070583934608228,0.09070583934608228,0.39572535038826456,0.022934949237576767,0.1806471118028124,0.1806471118028124,0.7043532391112103,0.017768394507105115,0.4892750005257581,0.4892750005257581,0.7334428829983435,0.018188663067993254,0.5183646444128913,0.5183646444128913,0.08994127245673011,0.08994127245673011,0.39856916117967583,0.39856916117967583,0.42765880506680903,0.42765880506680903,4.4314378737683935
0.6,11,0.21741140366449116,0.34695792298021977,1.5958588976116659,0.35930164959881244,0.020862685529045383,0.14189024593432129,0.14189024593432129,0.449059498792133,0.021669056290530966,0.23164809512764187,0.23164809512764187,0.7413714784495827,0.017128719841678335,0.5239600747850915,0.5239600747850915,0.7720397485031995,0.01775967157741205,0.5546283448387083,0.5546283448387083,0.08975784919332058,0.08975784919332058,0.3820698288507703,0.3820698288507703,0.412738098904387,0.412738098904387,4.256673174374619
