n,d_t,true_ate_two_point,true_slope,naive_ols_point,naive_ols_se,naive_ols_ci_low,naive_ols_ci_high,naive_ols_bias,naive_ols_abs_bias,ols_adjusted_point,ols_adjusted_se,ols_adjusted_ci_low,ols_adjusted_ci_high,ols_adjusted_bias,ols_adjusted_abs_bias,dml_plr_point,dml_plr_se,dml_plr_ci_low,dml_plr_ci_high,dml_plr_bias,dml_plr_abs_bias,dml_doubleml_point,dml_doubleml_se,dml_doubleml_ci_low,dml_doubleml_ci_high,dml_doubleml_bias,dml_doubleml_abs_bias,aipw_binary_point,aipw_binary_se,aipw_binary_ci_low,aipw_binary_ci_high,aipw_binary_bias,aipw_binary_abs_bias,aipw_binary_covers_true,aipw_doubleml_point,aipw_doubleml_se,aipw_doubleml_ci_low,aipw_doubleml_ci_high,aipw_doubleml_bias,aipw_doubleml_abs_bias,aipw_doubleml_covers_true,u_strength,seed
3000,1.5921016178500662,0.3548241938647949,0.22286529319902365,0.10478639072913909,0.01816296230168329,0.0691876384844827,0.14038514297379548,-0.11807890246988456,0.11807890246988456,0.2363348995594963,0.020732936550994167,0.19569909030526356,0.27697070881372904,0.013469606360472647,0.013469606360472647,0.22200526948999305,0.022122847000629813,0.17864528579125064,0.26536525318873544,-0.0008600237090305995,0.0008600237090305995,0.22372874274740095,0.021920719410334667,0.1807649221879369,0.26669256330686497,0.0008634495483773041,0.0008634495483773041,0.2719058748621006,0.04924289124682346,0.17539158076241151,0.3684201689617897,-0.08291831900269431,0.08291831900269431,True,0.29757464570257913,0.04742179091432198,0.2046296434281193,0.390519647977039,-0.05724954816221578,0.05724954816221578,True,0.0,11
3000,1.5961766313620902,0.36434466887994055,0.2282608714607159,0.09026822021194689,0.018188946496605022,0.05461853988067492,0.12591790054321886,-0.137992651248769,0.137992651248769,0.21663137894876358,0.0206797255533103,0.1760998613343953,0.25716289656313185,-0.011629492511952305,0.011629492511952305,0.20620133436695626,0.02273986464793266,0.16163201829213558,0.25077065044177693,-0.02205953709375963,0.02205953709375963,0.21107161170332772,0.02311787330620586,0.16576141262400432,0.25638181078265115,-0.017189259757388164,0.017189259757388164,0.39211383568886604,0.04721184570341485,0.29958031773661825,0.48464735364111383,0.027769166808925494,0.027769166808925494,True,0.4130682806399873,0.04752577864788233,0.3199194661529152,0.5062170951270594,0.04872361176004675,0.04872361176004675,True,0.0,22
3000,1.6003331025101621,0.3602810021775009,0.22512875701464355,0.07205293377854503,0.01821603709874965,0.03635015684233127,0.1077557107147588,-0.15307582323609853,0.15307582323609853,0.20939169253384388,0.020854382384772104,0.1685178538174564,0.2502655312502313,-0.015737064480799673,0.015737064480799673,0.19943887171069843,0.021805448150425323,0.15670097833199823,0.24217676508939864,-0.025689885303945115,0.025689885303945115,0.20143455117342077,0.02223426495435272,0.1578561926401683,0.24501290970667322,-0.023694205841222782,0.023694205841222782,0.25037859924051287,0.05787101656065713,0.13695349013822106,0.3638037083428047,-0.10990240293698805,0.10990240293698805,True,0.2645659376284249,0.0541553426805857,0.1584234164040521,0.3707084588527977,-0.09571506454907602,0.09571506454907602,True,0.0,33
3000,1.5964522859854877,0.35872173501182847,0.22469931495033066,0.08192736295610042,0.0182021110579056,0.046251880558603534,0.11760284535359732,-0.14277195199423023,0.14277195199423023,0.20910412032663356,0.020571658123527632,0.16878441098421185,0.24942382966905527,-0.0155951946236971,0.0155951946236971,0.20639143150288564,0.0220161961023388,0.16324047972536126,0.24954238328041,-0.018307883447445022,0.018307883447445022,0.199209014739809,0.021823895237023057,0.1564349660728686,0.2419830634067494,-0.02549030021052165,0.02549030021052165,0.30162732909290707,0.05394586771066583,0.1958953704312396,0.40735928775457453,-0.0570944059189214,0.0570944059189214,True,0.31953622438262197,0.05066941149282191,0.22022600273885112,0.4188464460263928,-0.0391855106292065,0.0391855106292065,True,0.0,44
3000,1.608743628729475,0.3646931143492211,0.22669436437006557,0.07830202995632334,0.01820743267014504,0.04261611739041518,0.11398794252223149,-0.14839233441374222,0.14839233441374222,0.2090032059485992,0.020154501421359015,0.1695011087247867,0.2485053031724117,-0.017691158421466374,0.017691158421466374,0.20795564229115795,0.022188611069497995,0.16446676338494037,0.25144452119737554,-0.018738722078907616,0.018738722078907616,0.21485054250302127,0.022184724173224882,0.17136928211654537,0.2583318028894972,-0.011843821867044302,0.011843821867044302,0.31967364100696993,0.05454640704585926,0.21276464686773944,0.42658263514620043,-0.04501947334225115,0.04501947334225115,True,0.3020751041114113,0.04988323632555049,0.2043057574810322,0.3998444507417904,-0.06261801023780977,0.06261801023780977,True,0.0,55
3000,1.5917274463165696,0.34741607811028985,0.2182635468869048,0.10484846374795827,0.018162842815006856,0.06924994569288617,0.14044698180303036,-0.11341508313894653,0.11341508313894653,0.24336192383766383,0.02041476737445734,0.20334971471535293,0.2833741329599747,0.025098376950759033,0.025098376950759033,0.23240376221644524,0.02283472040111985,0.18764853228018477,0.2771589921527057,0.014140215329540434,0.014140215329540434,0.2333817069768163,0.02258136329029605,0.18912304820602113,0.2776403657476114,0.015118160089911487,0.015118160089911487,0.3453455588039099,0.05273559999546147,0.24198568129440523,0.44870543631341453,-0.00207051930637997,0.00207051930637997,True,0.333715583470063,0.05955554737466841,0.216988855536144,0.45044231140398205,-0.013700494640226824,0.013700494640226824,True,0.0,66
3000,1.5921722723313652,0.3502876230211404,0.22000610681922367,0.16956983385197655,0.017999018498992915,0.1342924055586164,0.2048472621453367,-0.05043627296724712,0.05043627296724712,0.3115773689999481,0.020043923060920545,0.272292001381774,0.3508627366181222,0.09157126218072442,0.09157126218072442,0.29737131151114227,0.02156038686552843,0.2551137294286337,0.33962889359365084,0.0773652046919186,0.0773652046919186,0.2906617082104257,0.021583897042690772,0.2483580473607312,0.3329653690601202,0.07065560139120203,0.07065560139120203,0.44823134853595303,0.0478265562329134,0.3544930200754671,0.5419696769964389,0.09794372551481262,0.09794372551481262,False,0.4751602238193806,0.048701767999141186,0.3797065125576386,0.5706139350811227,0.1248726007982402,0.1248726007982402,False,0.3,11
3000,1.5977958308236733,0.3599968511913467,0.22530841816364372,0.15701781780039098,0.018036962687207645,0.12166602026412074,0.19236961533666122,-0.06829060036325274,0.06829060036325274,0.2935848251591492,0.02002580167604759,0.25433497480295625,0.3328346755153421,0.06827640699550547,0.06827640699550547,0.28218496466383985,0.02205432116801077,0.23895928913010078,0.3254106401975789,0.056876546500196135,0.056876546500196135,0.28965792448752964,0.02231826028270219,0.24591493813584261,0.33340091083921664,0.06434950632388592,0.06434950632388592,0.4582273375626799,0.05540510012406232,0.34963533590312224,0.5668193392222376,0.09823048637133319,0.09823048637133319,True,0.4917432877972271,0.05278403594650699,0.38828847838340574,0.5951980972110484,0.13174643660588037,0.13174643660588037,False,0.3,22
3000,1.59730911040444,0.3546226783743022,0.222012556032133,0.13596035269501908,0.018093917598677383,0.10049692558264496,0.1714237798073932,-0.08605220333711391,0.08605220333711391,0.28442515496536563,0.020217054349928498,0.24480045625346236,0.3240498536772689,0.062412598933232644,0.062412598933232644,0.2714576817583846,0.02143267089592482,0.2294504183785242,0.31346494513824497,0.04944512572625159,0.04944512572625159,0.285023134500094,0.021646409644822878,0.24259695120164065,0.3274493177985473,0.06301057846796099,0.06301057846796099,0.40563283997429517,0.05927478644013503,0.28945639244394233,0.521809287504648,0.05101016159999294,0.05101016159999294,True,0.4225019012941906,0.05859713750763442,0.3076536221820859,0.5373501804062952,0.06787922291988835,0.06787922291988835,True,0.3,33
3000,1.596466633049202,0.35387117880812385,0.2216589883449307,0.14953981193974614,0.018058147173355434,0.11414649357326773,0.18493313030622455,-0.07211917640518456,0.07211917640518456,0.2860380164590653,0.019877933982990724,0.24707798145802687,0.32499805146010374,0.0643790281141346,0.0643790281141346,0.28161233834849453,0.02148640953999649,0.23949974916084485,0.32372492753614424,0.05995335000356383,0.05995335000356383,0.2757256042123593,0.021464101765781663,0.23365673779092466,0.31779447063379396,0.054066615867428613,0.054066615867428613,0.41897382567818287,0.06220693151072314,0.2970504793666999,0.5408971719896658,0.06510264687005901,0.06510264687005901,True,0.42443300234236525,0.05366725223959524,0.319247120803532,0.5296188838811985,0.0705618235342414,0.0705618235342414,True,0.3,44
