u_strength,config,theta_mean,absbias_mean,delta_mean,absdelta_mean,n_seeds
0.0,base_correct,0.21239938526302274,0.01663271116043807,0.0,0.0,6
0.0,plus_mediator,0.3084960334409597,0.08417734212734572,0.09609664817793699,0.09609664817793699,6
0.0,plus_collider,0.6759714332241621,0.4516527419105481,0.46357204796113943,0.46357204796113943,6
0.0,plus_both,0.7073342255192775,0.4830155342056637,0.49493484025625495,0.49493484025625495,6
0.3,base_correct,0.2867743917044752,0.06546429253010407,0.0,0.0,6
0.3,plus_mediator,0.38102672215251626,0.15971662297814504,0.09425233044804099,0.09425233044804099,6
0.3,plus_collider,0.7066780791828465,0.48536798000847536,0.4199036874783713,0.4199036874783713,6
0.3,plus_both,0.7366802512987375,0.5153701521243663,0.44990585959426205,0.44990585959426205,6
0.6,base_correct,0.3491564882165466,0.13062700854572037,0.0,0.0,6
0.6,plus_mediator,0.4411167863980767,0.2225873067272505,0.09196029818153018,0.09196029818153018,6
0.6,plus_collider,0.7312784539921573,0.512748974321331,0.3821219657756107,0.3821219657756107,6
0.6,plus_both,0.7653692038992258,0.5468397242283995,0.4162127156826792,0.4162127156826792,6
